dataset,item,difficulty,SE
4thgrade_math_sirt,X1,-2.106265231,0.139957207
4thgrade_math_sirt,X2,-0.207560141,0.098987841
4thgrade_math_sirt,X3,-0.048588767,0.098490557
4thgrade_math_sirt,X4,0.487428107,0.099595195
4thgrade_math_sirt,X5,-0.535561647,0.101222977
4thgrade_math_sirt,X6,-0.451760155,0.100493911
4thgrade_math_sirt,X7,0.736632833,0.101620492
4thgrade_math_sirt,X8,0.722439713,0.101477949
4thgrade_math_sirt,X9,-1.222356206,0.111673524
4thgrade_math_sirt,X10,0.148549571,0.098395671
4thgrade_math_sirt,X11,-0.671669265,0.102645961
4thgrade_math_sirt,X12,-0.174264505,0.098852458
4thgrade_math_sirt,X13,-0.767745548,0.103833552
4thgrade_math_sirt,X14,-1.126391047,0.109695283
4thgrade_math_sirt,X15,-0.396661065,0.100074337
4thgrade_math_sirt,X16,-0.403517994,0.100123991
4thgrade_math_sirt,X17,-0.84360533,0.10488171
4thgrade_math_sirt,X18,0.534981798,0.099904801
4thgrade_math_sirt,X19,-0.234282523,0.099108529
4thgrade_math_sirt,X20,0.41336775,0.099183353
4thgrade_math_sirt,X21,0.772333708,0.101993974
4thgrade_math_sirt,X22,0.346624854,0.098884676
4thgrade_math_sirt,X23,0.487428107,0.099595195
4thgrade_math_sirt,X24,0.076308934,0.098363436
4thgrade_math_sirt,X25,0.638237318,0.100700799
4thgrade_math_sirt,X26,0.393292358,0.099086331
4thgrade_math_sirt,X27,0.815611845,0.10247567
4thgrade_math_sirt,X28,0.830150372,0.102644679
4thgrade_math_sirt,X29,0.22750489,0.098519907
4thgrade_math_sirt,X30,1.559337266,0.11627907
alcoholresearch_sumscore,X1,-0.563751318,0.191122295
alcoholresearch_sumscore,X2,0.470635977,0.242043132
alcoholresearch_sumscore,X3,0.891632501,0.282515484
alcoholresearch_sumscore,X4,-0.171941256,0.204078074
alcoholresearch_sumscore,X5,-1.160861446,0.182686975
alcoholresearch_sumscore,X6,-1.127934374,0.182826652
alcoholresearch_sumscore,X7,-0.193200394,0.203202845
alcoholresearch_sumscore,X8,0.536938126,0.247455393
alcoholresearch_sumscore,X9,0.030953166,0.213542415
alcoholresearch_sumscore,X10,1.429484354,0.360898143
alcoholresearch_sumscore,X11,0.261764454,0.227004356
alcoholresearch_sumscore,X12,-1.835663503,0.18821657
alcoholresearch_sumscore,X13,0.891632501,0.282515484
alcoholresearch_sumscore,X14,0.571455745,0.250404233
alcoholresearch_sumscore,X15,-0.039230436,0.210033779
alcoholresearch_sumscore,X16,0.571455745,0.250404233
alcoholresearch_sumscore,X17,-1.92634264,0.190249334
alcoholresearch_sumscore,X18,0.681342035,0.260421761
alcoholresearch_sumscore,X19,-0.599980671,0.190241423
alcoholresearch_sumscore,X20,1.281611433,0.335701895
balance_mokken,X1,2.22131412,0.103609953
balance_mokken,X2,2.082901827,0.102479676
balance_mokken,X3,1.506782267,0.099132969
balance_mokken,X4,1.765242444,0.100367988
balance_mokken,X5,2.291775574,0.104235435
balance_mokken,X6,3.870488156,0.128065272
balance_mokken,X7,4.445590255,0.14218389
balance_mokken,X8,4.584985298,0.14612421
balance_mokken,X9,4.039090318,0.131863227
balance_mokken,X10,1.411397532,0.098784539
balance_mokken,X11,0.895127761,0.097886097
balance_mokken,X12,0.426875819,0.098500334
balance_mokken,X13,1.285194465,0.098411507
balance_mokken,X14,-1.626551095,0.118204979
balance_mokken,X15,-2.125558077,0.127803612
balance_mokken,X16,-0.710967898,0.105795116
balance_mokken,X17,-0.584459944,0.104560771
balance_mokken,X18,-0.974381246,0.108725739
balance_mokken,X19,-0.710967898,0.105795116
balance_mokken,X20,-0.74770366,0.106174354
balance_mokken,X21,-3.679921373,0.173786499
balance_mokken,X22,-4.717634621,0.222110252
balance_mokken,X23,-5.088657332,0.24379378
balance_mokken,X24,-4.555357955,0.21341258
balance_mokken,X25,-5.304604737,0.25764548
big5_sirt,X1,0.932727628,0.486536877
big5_sirt,X2,-0.100222726,0.288892343
big5_sirt,X3,0.796557358,0.450383113
big5_sirt,X4,-1.037305264,0.201549007
big5_sirt,X5,-1.037305264,0.201549007
big5_sirt,X6,-0.668502024,0.230159592
big5_sirt,X7,0.489339442,0.381857322
big5_sirt,X8,-0.009932325,0.300552914
big5_sirt,X9,0.145303734,0.322546876
big5_sirt,X10,0.489339442,0.381857322
cdm_ecpe,X1,-0.502650664,0.052083412
cdm_ecpe,X2,0.443167233,0.045215315
cdm_ecpe,X3,0.069297061,0.047252757
cdm_ecpe,X4,1.648870722,0.043737414
cdm_ecpe,X5,-0.153007525,0.048867591
cdm_ecpe,X6,0.484183871,0.045040499
cdm_ecpe,X7,-1.248649961,0.062230352
cdm_ecpe,X8,0.171638284,0.04661323
cdm_ecpe,X9,-1.292854501,0.062995699
